,Well,Sample,Call,Type,RFU1,RFU2
,A01,,Allele 1,Auto,8097.9622707173,6836.83904274408
,A02,,Heterozygote,Auto,8043.9952885619,7604.4826981105
,A03,,Heterozygote,Auto,8043.25903873821,7603.8296161395
,A04,,Undetermined,Auto,8099.37224358755,7040.22811205983
,A05,,Heterozygote,Auto,8039.49556919968,7613.83720054782
,A06,,Heterozygote,Auto,8042.54165362198,7620.94118422734
,A07,,Undetermined,Auto,8103.27933820168,7023.98296656535
,A08,,Heterozygote,Auto,8050.49831125325,7606.14494677084
,A09,,Heterozygote,Auto,8048.55877051035,7669.00785588697
,A10,,Heterozygote,Auto,8041.51414847056,7620.80518680319
,A11,,Heterozygote,Auto,8052.70835311963,7604.29879267802
,A12,,Heterozygote,Auto,8043.73318796172,7622.57676292748
,B01,,Heterozygote,Auto,8039.77042161689,7665.49988213087
,B02,,Heterozygote,Auto,8044.46084519098,7669.02496144415
,B03,,Heterozygote,Auto,8046.52526010489,7607.55124476233
,B04,,Heterozygote,Auto,8039.1142565952,7613.10681714935
,B05,,Undetermined,Auto,8102.03906797095,7012.14342590829
,B06,,Heterozygote,Auto,8039.0575594717,7608.90071135042
,B07,,Heterozygote,Auto,8039.67031681073,7604.37305944453
,B08,,Heterozygote,Auto,8040.67384000431,7604.58160623259
,B09,,Heterozygote,Auto,8041.4929942132,7608.48999770496
,B10,,Heterozygote,Auto,8043.24262119392,7662.04910553063
,B11,,Heterozygote,Auto,8044.35251199406,7666.43535906659
,B12,,Heterozygote,Auto,8052.06368880229,7606.39755303756
,C01,,Heterozygote,Auto,8045.08770833951,7669.03437345903
,C02,,Heterozygote,Auto,8054.48859503373,7605.16723262183
,C03,,Heterozygote,Auto,8044.54998392724,7617.32030143036
,C04,,Heterozygote,Auto,8041.69640313832,7665.85283864701
,C05,,Heterozygote,Auto,8096.29811684101,7610.86071308897
,C06,,Heterozygote,Auto,8038.68599996908,7614.54560602718
,C07,,Heterozygote,Auto,8040.27331991677,7669.37827702572
,C08,,Heterozygote,Auto,8040.89390786947,7612.75926643919
,C09,,Heterozygote,Auto,8103.93450473012,7658.89475238065
,C10,,Heterozygote,Auto,8043.46402298268,7604.28052680388
,C11,,Heterozygote,Auto,8039.02591059413,7608.06029082964
,C12,,Heterozygote,Auto,8041.69343546289,7604.95413951553
,D01,,Heterozygote,Auto,8041.32846198498,7607.11582215801
,D02,,Undetermined,Auto,8100.26791805288,6973.42438535177
,D03,,Heterozygote,Auto,8042.51752465229,7609.80720877249
,D04,,Heterozygote,Auto,8054.48303465085,7609.6865494675
,D05,,Heterozygote,Auto,8040.6795724819,7670.11457019828
,D06,,Heterozygote,Auto,8040.22590666137,7608.3820882439
,D07,,Heterozygote,Auto,8096.66511989092,7660.33844655777
,D08,,Undetermined,Auto,8099.74887922278,6990.82217815859
,D09,,Heterozygote,Auto,8052.46485877803,7614.02437793185
,D10,,Heterozygote,Auto,8044.1784357411,7606.38080350531
,D11,,Undetermined,Auto,8101.89332992538,6956.26093341473
,D12,,Heterozygote,Auto,8040.52864368112,7604.03257741813
,E01,,Heterozygote,Auto,8042.79636330184,7604.85002373545
,E02,,Heterozygote,Auto,8038.58691683531,7604.72417233836
,E03,,Heterozygote,Auto,8053.19573021873,7620.91598570666
,E04,,Heterozygote,Auto,8038.91172494066,7605.91607737763
,E05,,Heterozygote,Auto,8045.00196932169,7659.97335977139
,E06,,Heterozygote,Auto,8042.10668996781,7610.33897561605
,E07,,Heterozygote,Auto,8038.9709459917,7615.19904478086
,E08,,Heterozygote,Auto,8053.11915187182,7665.26487649103
,E09,,Heterozygote,Auto,8039.10890383432,7604.65637541311
,E10,,Undetermined,Auto,8099.47310134146,6935.97522333001
,E11,,Heterozygote,Auto,8057.32400560567,7609.18250564749
,E12,,Heterozygote,Auto,8048.02457671624,7620.65530310787
,F01,,Heterozygote,Auto,8039.77832932532,7618.86308317943
,F02,,Heterozygote,Auto,8039.97550767794,7606.34318943513
,F03,,Heterozygote,Auto,8046.50880936905,7605.07760041452
,F04,,Heterozygote,Auto,8044.96710385508,7608.19205190262
,F05,,Undetermined,Auto,8095.59104423521,7021.01049564054
,F06,,Heterozygote,Auto,8052.08377288983,7610.48246045418
,F07,,Heterozygote,Auto,8042.41803348591,7607.22408815956
,F08,,Heterozygote,Auto,8038.64727998854,7667.02072296032
,F09,,Heterozygote,Auto,8053.79118399202,7604.56579162785
,F10,,Heterozygote,Auto,8039.96391525599,7668.77986549115
,F11,,Heterozygote,Auto,8041.99169232806,7609.30876263404
,F12,,Heterozygote,Auto,8057.7641011259,7605.21579528447
,G01,,Heterozygote,Auto,8041.38149000698,7604.66849952348
,G02,,Heterozygote,Auto,8102.49053717153,7665.65138017034
,G03,,Heterozygote,Auto,8048.25843870777,7617.40704037247
,G04,,Heterozygote,Auto,8040.95424642118,7612.55607313911
,G05,,Heterozygote,Auto,8041.0591883859,7619.74074724277
,G06,,Heterozygote,Auto,8048.27753805317,7608.14621511689
