,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,64.3705594149897,58.1456166524868,377.795909442099,329.451588456501,346.060650555462,90.9115299916211,73.0408453302816,385.734291501913,73.9815592134064,48.1940216400244,45.3022285135321,77.8060096703848,92.4737877677608,66.688582414984,52.6587623083906,50.7137367398727,361.640724522811,52.0286729209229,352.066889127102,78.0478143923392,53.2080582038489,84.495275376521,90.1257795563042,60.4156907788911,369.304517567089,400.897166643782,47.8333384386433,338.559346445413,53.2268656340912,102.877476029118,59.222616039373,311.511899089021,59.0018259883391,104.859254613936,52.4207619158005,337.035216800545,311.665190657983,376.68843866835,48.4908069353141,49.3324706373069,89.6555751370488,58.9737899374986,308.761765950478,343.075960460407,51.2128246174916,311.333918628631,82.9459999838618,416.673721412341,60.1215763429991,418.170955883275,58.1947797446728,49.7929789187156,51.2203536312491,94.8737172550618,89.313137652267,49.3329260593655,76.8670759072447,56.6262264345323,88.9478134313777,313.34768497876,58.3845686872564,50.3937900280889,398.783470900979,48.8037532063181,66.5759336140427,91.6086900473265,52.2487632369084,47.095525292887,70.1078336096552,89.6871050319323,90.4247075393987,62.4079613364092,81.6678979995413,58.4366425684584,58.6685952638263,53.7764615360875,46.6599977794194,68.3988392982192,84.7925391011777,59.9139382097128,53.2093052226164,85.938385557537,54.6147115895246,360.131576253685,427.92901640177,62.1680022438923,51.4219406261936,93.3421642466137,60.3692328570733,399.442908943164,90.4728684344818,61.0968326152324,312.910734230163,108.144006159309,46.2601289843815,47.6642169699207
,2,77.0783189646927,69.6014701215126,494.529246350849,429.160939813132,451.671138253756,111.093751773651,83.4239330315731,505.522247828148,84.5108614876262,54.9985603255318,51.6913322344153,94.4164831172484,113.156566754867,79.8613062750464,60.1057147939482,57.6316735085684,472.572987787506,57.0814685109899,459.646983819091,94.7961629745569,60.7289913621125,102.954269889155,110.367919251901,72.3290163149231,482.838709467304,523.833247643195,52.3599721047276,441.306232164741,58.6451388536652,124.586001530341,64.9238666095935,405.154534165609,65.0286694969009,126.950806171362,57.3596731945845,439.368483589948,405.21754524921,492.833550060273,55.0235971179327,56.2974810426122,108.807300817535,64.6885919640581,401.475805723575,446.090420286117,58.4468481127178,404.898321346562,100.734212662794,545.209586391582,66.2644727058441,547.263650830106,66.4331964063758,56.8233733536526,58.2229493996629,115.982760492396,115.682525556894,56.3121455200744,87.8075831227425,67.7787843724973,115.246946099313,407.568778404111,63.9853263593914,57.511357570037,522.978572457271,55.4711913806677,79.7284376785501,111.764104773236,59.6330106775149,53.7490266618843,80.0675150366778,109.535985222682,110.341398413003,74.7171413784754,99.4028571225726,66.7157778187748,70.2348466686581,61.3836083272927,53.2479274460884,81.912513223353,103.350605797404,66.0275652091295,60.7309362111546,104.313799535437,59.9269018247096,470.44900604267,560.497791323103,74.2447940476404,58.6888295019598,113.7273314759,72.2725324051735,523.970096951798,110.873987831908,73.1433320929036,406.966723657179,130.95235559205,52.5074343242413,52.0971634987836
,3,95.1767609362205,85.9249102901767,655.384351719171,567.334768689843,597.688796462255,139.176440205554,98.2216369108,670.359885681162,99.5140344246629,64.7038987413398,60.8068210991842,117.709370157751,141.89339879656,98.617973825335,70.7284311869871,67.5540369072942,625.737033461774,64.3353448925081,608.338402277983,118.25748272393,71.4558951870285,128.722578340848,138.471118686512,89.2996943069429,639.500229361101,693.587371498448,58.8801410027199,583.581183829423,66.3803114876537,155.097233609323,73.1190199784187,535.160458846007,73.6278338799821,158.00934719102,64.4770459393403,581.052307606935,535.148798420205,652.971138856807,64.4137274062587,66.2342106715978,135.65882175178,72.8952688747258,530.231437947008,589.150865505961,68.7660812113863,534.806075781929,125.657742669418,722.408085629579,75.0282003025259,725.194044974392,78.1807943003569,66.8528027140665,68.2638233262651,145.341903677534,152.457663282747,66.263884591197,103.396339276458,83.6696201678978,151.909700294289,538.368310103549,72.0379173839628,67.6635903282258,693.746913483204,65.0326103051857,98.4570963349743,139.862503556212,70.1633864707783,63.2394983201357,94.2649174819953,137.174725891948,138.098225572717,92.2517864157608,124.191212021975,78.5208861274596,86.7107231551709,72.2334365454253,62.6432117449831,101.15537074255,129.249119413535,74.7519221996763,71.4592202240065,130.074058939924,67.5515640539179,622.818970407548,743.044944067273,91.5002793343592,69.0537229295605,142.184183132983,89.2289929232038,695.146112376373,139.174078654051,90.3029489824221,537.549323044968,163.014401998362,61.4829133738649,58.4984760755442
,4,120.911939348225,109.147906515825,873.845802292228,756.446358253135,796.918395282983,177.857371114518,119.286660916287,893.813180908208,120.866586141097,78.5379076568561,73.8029114719775,150.132617070599,181.394715303542,125.288035285233,85.8640498468039,81.7999809033299,834.316044615698,74.759319034074,811.117869703969,150.870498372767,86.7425557097995,164.368661172504,177.057335536952,113.439316224383,852.666972481473,924.783161997899,68.2930578762534,778.108245105885,77.4109066516221,197.69988196046,84.9162874753656,713.547278461336,85.8854602827823,201.39772292566,74.7642691911497,774.736410142552,713.531731226951,870.628185142417,77.9337825124239,80.3963475551145,173.030014543179,84.6958723621319,706.975250596004,785.534487341309,83.4737921293054,713.074767709248,160.306927771689,963.210780839434,87.5216338729915,966.925393299205,94.9161795801156,81.147494032477,82.671988832878,185.753826948818,203.276884377006,80.4438324201783,125.581133323662,106.280739034762,202.546267059047,717.824413471384,83.6395072902733,82.134522410247,924.995884644277,78.7558234859807,125.084951650196,178.654886247707,85.1721092816442,76.7657780576537,114.474647770719,175.272408241697,176.40892783051,117.19063158207,158.535534093213,95.3346295992642,110.149273283031,87.6907993994246,76.0374529059163,128.512588295634,165.055893177216,87.1892480435872,86.7458393340457,165.917194932915,78.507483324056,830.425293876731,990.726592089684,116.14987687532,83.8251236946826,181.552094935312,113.347719253035,926.861483168497,177.991475342865,114.713008683001,716.732430726648,207.788245720928,74.3980793574838,67.7676894873784
,5,157.429853180342,142.124455709388,1164.77953386665,1010.92685533035,1063.89505004759,230.418490510679,149.218195385149,1190.65030037382,151.19663728069,98.234927288986,92.3106240577354,194.81964163496,234.929701375902,163.122770412529,107.400886909187,102.274200369094,1113.10252204934,89.7627131992367,1082.67494865211,195.734575488063,108.499578838921,213.085341911658,229.27103326849,147.707435274625,1137.26964883931,1233.83016591232,81.9181983400358,1039.52035755121,93.1294277786546,256.676103445154,101.929172585632,954.43090587571,103.341412173816,261.492630652546,89.6679798251034,1034.94907024505,954.593265917727,1160.80606543952,97.4275591100813,100.560342319995,224.528353361146,101.689005510035,945.770441766705,1050.86009005184,104.409448405905,953.833172320637,207.982225291554,1284.14544753101,105.311477209052,1288.97942738708,118.725123927993,101.499606718213,103.367326508909,240.629430538298,272.666441683721,100.621884230778,157.094661151463,138.393616042013,271.636654278664,960.116020059611,100.382501365515,102.732906719828,1231.76366657289,98.4689789710937,162.856925199003,231.538482228266,106.534614881144,96.0193206826734,143.198311686162,227.099097897084,228.61930136792,152.590627298495,205.574803649396,119.250517584132,143.424867073834,109.687405115324,95.1069305810679,167.3200366987,213.959945814419,104.904981581988,108.50394748839,215.287121502478,94.269350314361,1108.10348851657,1320.13183669417,151.330366443174,104.849251524633,235.368275373219,147.590133943092,1234.09519881793,230.442005184251,149.366730311976,958.698876568269,269.777811941907,93.0092521958768,81.2362353697172
,6,209.087592953076,188.82571659426,1542.27129634752,1345.69373578662,1413.15757882329,300.626242927636,191.646947837874,1574.55466199301,194.172489020084,126.232534443782,118.628024525051,255.620374423039,306.189264993522,216.632452173645,137.991043100101,131.719641463841,1476.57277250761,111.38798538521,1437.61813182179,256.62510444163,139.408459571213,278.632956035297,298.625056264216,196.213448414566,1507.80260163332,1636.77469655362,101.688164957063,1382.79035007375,115.499527865201,337.413538397009,126.503094569855,1272.78349610791,128.159397341358,343.805252446249,111.315566169286,1376.51707232835,1273.49989987732,1537.87512810768,125.572817987895,129.218283544649,294.584734556662,126.192976287855,1261.57695785092,1401.72793852376,134.159540679584,1272.06255595101,272.704270191637,1700.9623290091,130.602909303136,1707.0581291388,152.532338000958,130.425280746937,133.108222002937,313.867381331817,366.002684375604,129.280473812632,201.74727630783,183.881049743159,364.482985434238,1280.25460482864,124.588889134175,132.008480789422,1627.80022522229,126.806779212952,216.26918179924,302.480174243119,136.88633806741,123.377616196404,183.924053703146,296.419662296015,298.620303343741,202.691139315027,269.039692136536,153.19777727875,190.534048855977,140.926888208387,122.212699736275,222.191817627262,279.70271447899,130.100045392354,139.414591267798,282.410587817762,116.977875912976,1470.47150309109,1746.76249279046,201.462291714992,134.7215390624,307.819686820584,196.065278412263,1630.49863790867,299.981054049744,198.421741083113,1278.48755525776,354.644861439064,119.863151372054,100.864127468423
,7,281.84691088284,254.70708529808,2015.90720416245,1773.19636373171,1856.0100705847,392.474268061781,251.578016681692,2054.26638694371,254.846251831533,165.940568318715,155.970553087433,337.026366349649,399.013363737886,291.975507035806,181.327398772428,174.058879765034,1935.42457874361,142.587605273927,1887.15672590384,337.896925131296,183.210991841835,365.15127903515,388.704060966154,264.592753616714,1974.75529881931,2145.40850482993,130.423124871925,1820.17071600283,147.275044546881,446.421175547051,162.023914191285,1681.79643134426,163.367107607837,454.99158888974,142.807962094083,1811.49252373555,1683.76290208448,2011.92042999353,166.214569899143,169.856043420511,388.382173216339,161.551676898553,1667.64557031515,1852.78669691798,176.331979569793,1680.96452357411,359.107042187794,2224.50900692102,166.475508406222,2231.88481228051,200.401060568392,171.441248128122,175.836297753051,409.601635376049,489.33400197582,169.878265384847,264.779479743488,248.069096112637,487.027230827091,1691.41748097567,159.616236871006,173.512900120945,2121.58183519397,167.538857616341,291.462705419776,395.79311429096,179.902890992285,162.156993807079,241.472531226213,387.254892262652,390.627548659879,273.303486298532,353.094738992513,201.246232744998,256.961272453741,185.175631194305,160.652612000641,299.433016864995,366.383507550931,165.857203711013,183.218336627609,372.200469426587,149.722028100647,1928.50450067332,2280.73704973198,272.694946813919,177.059526407617,403.565618604845,264.413953445531,2124.408992371,390.092872615989,267.583816132525,1689.33832624842,469.213982165762,158.623348068416,129.529453456545
,8,383.706419590873,347.136814127601,2585.83512625342,2298.97253877703,2395.88479758261,509.832568257877,335.814828379123,2628.66534775004,340.06704616857,222.06998873018,208.793130095632,443.977978378623,517.020383402985,397.40937272304,242.487902895214,234.832955008742,2491.76604134206,187.590722654575,2434.37007975577,444.266645423814,245.059353293305,476.830870647736,502.783101666701,360.43747191142,2539.77286343602,2761.83436972367,172.183856586023,2356.6442496622,192.29579717039,591.217753531164,213.322782286851,2188.70975746,213.159117867337,602.709945976921,188.603721547301,2344.59879052981,2193.06204823486,2583.84367678732,224.798185871321,227.287319684187,511.631058644151,212.531369209677,2171.34857962736,2412.03170927552,235.906360466498,2187.75430402732,472.199115984055,2885.7875847705,217.197922979848,2894.14859376291,267.914646943265,229.404062111962,237.111892860246,531.861118269369,649.126572023724,227.179707256415,353.304204062607,338.162959209903,645.590569936672,2200.72244536859,210.262127978534,232.154736462613,2711.30588770096,225.993330984598,396.649875108816,515.821005176417,240.65578917868,216.940864437249,322.404202793493,503.534359194482,508.855718130863,372.254273016709,462.026579147351,268.977992517328,350.104308380864,247.617958317972,214.9849430884,407.47338578965,478.129512353562,216.455520860332,245.06959554443,490.034261544158,196.912603563459,2484.75638399423,2951.00771015282,373.407295377114,236.854998094868,527.436453819986,360.242233418878,2713.90660747817,503.896367885499,364.540334767737,2198.48012814563,621.324931686371,214.486448381685,171.390700944799
,9,525.096665116299,475.828044860293,3256.10699403425,2940.11951267096,3044.70331353047,656.21298621436,453.396165222707,3299.01294611836,458.918435804821,301.046347001055,283.190225641533,581.628677461617,663.398418895929,543.685191451574,328.358066587402,321.688637557086,3154.3206225731,252.355544382771,3090.24961736107,580.575540364471,331.948995791784,617.63144150061,643.600691843983,493.708613663935,3210.71870794061,3494.44823174097,232.697676321551,3008.13119138662,255.846027304151,780.128013978861,287.146049108823,2815.17021564548,283.266670713565,795.348678425379,254.96579378361,2990.87737171188,2824.23219940582,3259.8385380739,308.846395375598,308.068905098067,670.314450148525,285.794418686589,2794.40858019642,3102.61380645378,319.653281358883,2813.79627176141,617.070697878633,3597.3866462068,288.596623146675,3606.4192344251,362.609499200864,310.93228094295,324.609338374987,684.364756985628,852.10117847917,307.642198111204,476.728357399824,463.674749253599,846.72200220426,2829.32971551967,283.228076402423,314.613645224972,3396.97428149199,309.552215126401,542.509449233949,666.6923851526,326.027376295789,293.966526708638,435.463202940709,648.842506830273,657.27151696951,509.788071507365,599.945135654464,363.912877963172,479.681219885999,335.266320537378,291.426773280699,557.264103676753,618.81206366635,287.753372664254,331.961075980689,641.482767480561,264.752892387372,3149.17419326951,3669.52712987798,514.657532987047,320.882801131569,684.200683695053,493.55060236787,3398.99721954386,643.932410544608,499.387460666404,2827.39555183228,819.552604804403,294.66037766832,232.320952973225
,10,719.059054245569,653.113860725774,3948.67439429397,3616.43480639237,3723.50217667282,834.967880509535,615.938136736835,3988.91130902572,623.037619922697,411.447117191647,387.337325659769,755.28731084473,841.175072768732,744.213070944739,448.036636826557,444.842400814932,3843.8364840741,345.057953415191,3775.22729790083,751.762784659722,453.151206771689,791.297790221663,813.628011811767,676.973465546474,3908.13387962664,4254.94721006515,319.788952108211,3693.9599756295,345.080672299407,1022.09193325127,392.624896302364,3481.43781443751,381.378852586096,1041.75900995066,350.42514131595,3670.26446018413,3496.59816053347,3960.75790921929,428.388878860216,420.94573924473,870.585736446347,390.375569711066,3457.0254205462,3835.58193875845,436.576659511526,3479.13514900057,798.808799661323,4363.68418698023,388.470329333568,4372.87581718254,494.400132343874,424.843949651173,448.57308098331,870.780029120946,1105.40519123756,419.828326835195,647.082394388297,636.716691211958,1097.4001765487,3497.11286600327,387.5954180661,429.7802420486,4101.46162147383,428.117628342594,742.322695015464,852.461993549253,445.155964838647,401.54865159121,591.933908798493,826.58708417733,839.720503875292,698.807142263907,770.747428350999,495.929551089176,657.986169035614,457.385469087883,398.279133809908,762.413323920233,792.087745013339,387.626583660889,453.164849389728,832.202971070747,361.719956614389,3841.99142315759,4439.10345150113,710.359048240702,438.143080808869,878.648513384405,676.982358416906,4103.09605535495,812.465885353659,684.871661026503,3495.87434582273,1072.91798419068,408.811318745037,320.360533680657
