,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,330.502744039763,60.8985863977186,59.4940706024381,342.426185553686,42.1185131244301,46.7469629315829,388.577831279463,51.4989263938851,48.9459350423049,56.1920194523182,54.4237804713093,60.423681170595,52.930818412171,61.7831153967973,46.2645101035314,51.6495819033717,370.351536069425,51.5421139392938,42.3823422686928,43.9236419464369,45.1271757401782,59.4980156085085,61.6189322023529,53.5715393324072,62.9706155723252,64.7726894537582,61.9523042638675,45.4296761079177,317.847307029519,40.9345670581033,43.2919385599071,44.2230903101681,402.265929288005,59.9118766128695,51.4845458168857,56.5278209400922,55.8343275992211,350.823397435936,58.0931404489565,64.7346109053069,43.9299081309337,43.2210415419531,320.55702200998,345.71786154971,54.1016280905142,49.1677955672867,368.283478658473,54.3644431559869,58.6209663990849,40.7837280299755,55.0670301360506,51.2706922850166,50.4138100691343,46.0941087237679,41.3820575378586,62.6676340154027,51.6393435761329,343.331685406723,69.0928206127492,48.2373016460078,52.9068915561693,42.844935255418,52.6805525038289,62.7454659506366,312.815314501192,53.6399594494105,57.9029224979695,40.8494248620482,63.6855897924279,42.8660755766941,45.9154786640684,69.7149160750487,55.9655459107234,376.272712314923,48.5496768156818,44.3167949628478,55.3287059751483,48.575055598787,61.2163267713531,45.9468761301496,60.1655417981156,388.361977489879,396.864038174052,47.7048855098892,317.976993677117,45.4593582511898,62.1882680090293,397.650936341465,45.699482827742,58.9892685066689,312.686743961585,389.560905105404,50.0735602198474,42.1543921337061,52.3464168484306,334.574039158918
,2,430.662638723813,72.9287787096737,71.2386547169835,446.704654904628,48.0600826958316,53.3611984617846,509.245688812064,56.7468961259465,53.9318647000937,67.2743252167265,59.9765191568104,72.3593880623039,63.3663395750136,73.9902053076084,50.9722611966918,61.8201443219314,484.461269993523,61.6923832487673,48.3607007384026,50.1317050773296,51.4995148746393,71.2487704372497,73.800188743724,59.0361550524776,75.4168698543599,73.9833551544671,74.1941212443189,51.8447753020055,413.682454419816,46.7140733589922,49.4028368395666,50.4658765516815,527.935975683828,71.7465231914848,61.6231484670625,67.676661461257,66.8444207073953,458.030447943165,69.5584357717726,73.9343864481971,50.1382018611939,49.3210372851418,417.316492060136,451.137549678195,59.6213534483695,56.1196454468463,481.649536036419,65.0878589518052,70.1922065367226,46.5415451214831,60.6869864548917,61.366929910816,57.54464939028,52.6158571640217,47.2299802792122,71.5677485545775,61.8103190926749,447.923993885065,78.9346605477867,53.1485880073569,63.3305096263457,48.8903604734896,60.1365641766433,75.1467740311327,406.94433501831,59.1234269459001,69.3290672451367,46.610261691274,72.733409501946,48.9250609575811,52.409728763052,79.6370691230632,67.0067443572962,492.498967963313,53.4942854477185,50.5734787264628,66.2378117408589,53.5223426861403,73.3141357069244,52.4373013282857,72.0463216933531,508.946500562139,520.550483146411,52.5600993873622,413.852967434834,51.8788257023252,74.4766190933742,521.619227925875,52.1541138106813,70.633601894966,406.766590892531,510.58464956335,57.1549392813376,48.1065374595237,59.7558061900245,436.135442781234
,3,569.409875020617,90.0581319770008,87.9652537145848,590.965760505036,56.5351517014306,62.7933622822984,675.297797760563,64.2357209389129,61.0457539979352,83.0615675465542,67.8992933487016,89.3573816763892,78.2304796546923,91.3725359113441,57.6921560080036,76.3125735454332,641.822586112298,76.153867213442,56.8914756676222,58.9843357993332,60.5908428783214,87.9847081655444,91.1438307444387,66.8335996696251,93.1366811653152,87.1101964635391,91.6246656064304,60.9958012548195,546.624435116952,54.9589340211751,58.1185801654574,59.3718231763987,700.592119469379,88.5988106754085,76.0693624560272,83.5581308874962,82.5273491825692,606.204930303546,85.8865043936466,87.0454265179733,58.9924171282482,58.0226734208018,551.498610659106,596.925479819355,67.4980123652431,66.0342857401656,638.026668654882,80.3615119871492,86.6711406112836,54.755495560551,68.7048706510541,75.7529718815413,67.7152861606346,61.9158916979241,55.5707616756144,84.2525705419766,76.2990682567224,592.606692665543,92.957322843924,60.1580542201373,78.1817217299267,57.5159948315104,70.7685022815649,92.8039884703749,537.590117021768,66.9447679094228,85.6029682962699,54.8294019894374,85.6270205828951,57.5660592988042,61.6714911693753,93.7763707174845,82.7333790187249,652.669166671375,60.5510980353756,59.4987327994777,81.7773366838492,60.5829645469075,90.5390470618067,61.6959242056755,88.9657198319919,674.889754454626,690.589386260076,59.4896677139559,546.850926924997,61.0378207329459,91.9750428606258,692.032014985855,61.3613829332871,87.2165195842899,537.349593238736,677.106193949176,67.2555297278368,56.5988350024836,70.3209422415966,576.7615849268
,4,759.213166694158,114.412850497427,111.750979333126,787.954347340036,68.61939204192,76.2320630004815,900.397063680749,74.916833280734,71.1926715830905,105.515608221005,79.1964467465941,113.523742396621,99.3767072775117,116.085481474328,67.276396963437,96.9357976091032,855.763448149717,96.7335806114943,69.0507720884234,71.6012934368309,73.5482121002078,111.777424941858,115.796622349656,77.9510845996037,118.327195434256,105.79317910924,116.405583122211,74.0397824030979,728.832580155919,66.7096351057362,70.5433038885876,72.0666693913781,934.122825959174,112.559012750728,96.6257276465885,106.146308812556,104.835990807073,808.273240404727,109.109000985457,105.709487251629,71.6107087497821,70.4275255859475,735.331480878815,795.900639759146,78.7262120317582,80.1623844403775,850.702224873185,102.085741148207,110.105535908762,66.4621819356107,80.137462537401,96.2236542516166,82.2062794815083,75.1657804146835,67.4572416188366,102.312463883512,96.9182698729492,790.142256887401,112.910207411676,70.1537129592543,99.3110639519882,69.8107396418427,85.9175879120803,117.90580972934,716.786822695693,78.0935574592122,108.747626189653,66.5471908282443,103.984727605892,69.8803561070599,74.8692399337015,113.898892471275,105.100595807307,870.225555561831,70.6143816302438,72.2209202200493,103.882572121322,70.6516523900555,115.027213736551,74.8899737219408,113.023572521928,899.85300593952,920.785848346774,69.3738935025094,729.13456923335,74.0909323481155,116.851474666375,922.709353314483,74.4853343964323,110.798977795968,716.466124318303,902.808258598904,81.6475971035725,68.7024596038927,85.3744407817667,769.015446569077
,5,1014.44672613382,148.963954867291,145.501551067051,1052.1941023108,85.8275250303332,95.3532817306068,1199.40999224713,90.1313569763797,85.6497891532827,137.389316209367,95.2869684178959,147.805082826282,129.39801297206,151.13864657074,80.9357638665469,126.224762485419,1141.0656299495,125.962130221128,86.3683920691701,89.5591345798093,91.9939247253578,145.534076420126,150.760687512157,93.7880156719457,154.056792718291,132.340550867066,151.555648473438,92.6080628460059,974.489531207436,83.4404874642778,88.2349244921952,90.1396927975202,1243.41445959134,146.550137495725,125.822252967742,138.210645004999,136.50548701702,1078.85617863802,142.062906348206,132.234221880129,89.5719745056149,88.0894377143259,983.040492930485,1062.63118124463,94.7225541380785,100.26841303217,1134.45079174911,132.923265011658,143.360704037555,83.1304878342144,96.4211579655039,125.298891484484,102.826253358433,94.019029447405,84.3757103453181,127.984787361269,126.202349533998,1055.06863736474,141.245969709019,84.3995533370389,129.316623212301,87.3192015918421,107.46879939307,153.506745804384,958.630038131621,93.9676119191126,141.59368085269,83.2358544544177,130.076561829633,87.406559350361,93.6471485078127,142.480655661122,136.84684978769,1159.9851718655,84.9534178485446,90.3335315289714,135.264785781662,84.9983345531064,149.760108633848,93.6722479892551,147.156722269188,1198.7095629987,1226.01852756981,83.4603430709612,974.891081920734,92.6734533923864,152.135354938149,1228.53848351682,93.1654051322039,144.262922977182,958.211667306869,1202.55820018612,102.12653351972,85.9336829999856,106.789296486511,1027.32734819362
,6,1349.86673051636,197.827472958178,193.244264293813,1398.3189324247,110.294829223233,122.510152187193,1586.07517133731,111.780879925459,106.222363497865,182.502300094254,118.172211729998,196.281295064066,171.899716300752,200.705382824266,100.376576183205,167.712264348191,1511.8943255424,167.364575722861,110.989293742042,115.076377971599,118.209374663988,193.27288343459,200.188310010701,116.313440779338,204.567857307271,169.966754131563,201.257828007711,118.999561018803,1298.43705934083,107.220855922744,113.384596443916,115.830588269722,1641.81987414199,194.622679797738,167.179937323438,183.591796393466,181.331541302782,1432.4689009378,188.692218259777,169.838617389883,115.09178966265,113.197870764174,1309.4543813359,1411.71097795608,117.471359821084,128.831676078285,1503.48854189477,176.571558855994,190.409944484983,106.823838804504,119.577273224262,166.487695117711,132.112366202177,120.797879197703,108.416496131923,164.387163739439,167.683263976052,1402.00513128387,181.381516178774,104.671566414353,171.810496964096,112.208426510325,138.071050282129,203.838041083001,1277.98541917031,116.532529140593,188.070306981501,106.966278065438,167.070208991664,112.30966571178,120.321294657314,182.977533405128,181.771438276402,1535.98628041628,105.359188581633,116.078100297628,179.688463976417,105.414874082832,198.867876290059,120.365464305994,195.432858204963,1585.20926773558,1619.8020439528,103.506769893614,1298.96603870248,119.08134103446,202.024198292041,1623.01685921106,119.713514313014,191.605305333101,1277.45737594331,1590.06968368501,131.2153262119,110.421019206082,137.197960760443,1366.41568043564
,7,1777.59647221952,266.622815902084,260.490462083493,1837.84272195629,145.006161084298,160.981262552576,2069.07436728481,142.520819801054,135.441279608737,246.093893815867,150.652993632045,264.526639947567,231.836657101367,270.475339775632,127.997806252928,226.25798696792,1978.13876488127,225.791916392731,145.917278914507,151.245986559821,155.379521990147,260.494822115279,269.746487527445,148.287062154847,275.650038953615,223.109972396911,271.215244800042,156.418122279028,1713.38460091845,140.946689630166,149.052889411993,152.26532914911,2137.04233600132,262.309433696942,225.544683628475,247.557725314591,244.526529160326,1880.16659428218,254.387294159887,222.967862044201,151.269145140158,148.808681040605,1727.15865927287,1854.487667544,149.761332677281,169.301203073126,1967.84526024746,238.105553954402,256.688071590104,140.427946938049,152.441397729077,224.617232016217,173.59581163186,158.734701074407,142.500618371947,215.840219817219,226.220072413334,1842.42099217578,238.018495946443,133.469631098436,231.757130346546,147.511890772262,181.405379241087,274.668484673359,1687.77396583806,148.541219193024,253.553801950005,140.638353234096,219.348810354594,147.611805085488,158.115322859981,240.141116157851,245.086236875733,2007.74036966822,134.342889723567,152.585301410345,242.32091912588,134.413648518873,267.986335387499,158.204310172272,263.416227479054,2068.05871502449,2110.23049020532,131.986705443256,1714.07043854729,156.522561060277,272.240528133101,2114.19569152827,157.351254646274,258.296719639264,1687.13905555164,2073.95817284162,172.42533089572,145.146110259428,180.257384200695,1798.20115909401
,8,2302.58696537056,362.879575271762,354.627426288299,2374.4808726083,194.098886407766,215.284939013178,2673.30767017189,186.049671222473,176.831987923248,335.214283067514,196.616622082955,360.00883780952,315.897351332884,368.066665549232,167.142953400276,308.438175531663,2568.07572529281,307.80833169412,195.312534782245,202.344473187693,207.901908160578,354.569882938831,367.011840543409,193.540883224803,375.039512856923,297.806867412902,369.061907656691,209.29208984765,2225.53458995205,188.62667290407,199.479802506919,203.763492452455,2751.328417757,357.027096585013,307.475503529503,337.195582726828,333.106018352933,2424.77563960082,346.397538764193,297.671778082668,202.379001483054,199.154599905361,2242.09036755568,2394.3442749656,195.457436024789,226.430910559572,2556.20669827829,324.365954062373,349.498235040918,187.941559953564,198.94262958495,306.223492649257,232.137244232043,212.291638780409,190.668607802008,288.224559084968,308.387672513808,2379.93619495974,317.530855610612,174.271051237348,315.866910349777,197.427764228809,242.527514569884,373.709230577626,2194.68142844939,193.808137555115,345.271924101652,188.271468790103,292.874246887102,197.488458655538,211.474761129311,320.416234375535,333.802510807313,2602.45388320678,175.400943271003,204.184016029045,330.125421186091,175.492614789684,364.657395889892,211.662079468044,358.561234226555,2672.23249234268,2720.60883864407,172.342558821897,2226.40419090633,209.423689769431,370.443092506967,2725.25684347272,210.526285826998,351.674812377211,2193.96690044907,2678.93721220914,230.587541014536,194.223092619214,240.991803181508,2327.21901698997
,9,2939.93389319418,496.39007907909,485.292676532642,3020.26434817119,263.217650137612,291.559167599415,3319.73743599191,247.446148197962,235.241630398369,459.108819109759,261.389930959122,492.442400389863,432.896220922128,503.369757033503,222.423271140333,422.937288763083,3203.61097181197,422.086257184287,264.852761849445,274.192083395777,281.767551733625,485.105602031109,501.830102919695,257.325404746283,512.760070691832,402.088290940574,504.708429504311,283.649625302087,2853.18791064179,255.73751372571,270.442203497268,276.21602550542,3405.16123108221,488.434490980375,421.635182010375,461.793858772897,456.274354092581,3076.14712722364,474.1893346113,401.999897291316,274.246151201699,270.004609282357,2871.86174112989,3042.48707655224,259.858825781334,306.666154432863,3190.57517428799,444.347390473018,478.368394357852,254.826644506598,264.460049159091,419.94393068195,314.311588569103,287.532282071237,258.441526169019,389.387565552096,422.869435143523,3026.35178193573,428.350322001011,231.866770652382,432.981468964582,267.681232988855,328.260260968626,510.958031754765,2818.25966015441,257.560792465652,472.671588998607,255.360005081927,395.596394677242,267.637591363427,286.446391087174,432.329693365574,457.113100422882,3241.68429941142,233.349936659416,276.767085767003,452.240158035796,233.47026603169,498.685868634861,286.820834242454,490.57673127861,3318.6807757576,3371.58717503714,229.317913570386,2854.2615872707,283.81229498035,506.56525127535,3376.80426467568,285.293727823459,481.31660463336,2817.55369086318,3325.93089212179,312.243551739521,263.276859227507,326.185382991715,2967.52077120858
,10,3609.75379436655,679.344933024439,664.524742206764,3695.51306597609,359.925744675158,397.955928973393,4010.20040591158,333.559447992377,317.235113933772,629.4214931421,352.132413118334,673.938689807243,594.025424608814,688.674875118258,300.099584569067,580.817949944048,3889.110661933,579.67096180397,362.135734130822,374.562998503911,384.952612853552,664.106244078775,686.434049674772,346.714010673196,701.232827435845,546.302017102195,690.461878557848,387.512467702218,3516.47063722098,349.626766046144,369.663585040511,377.478560828744,4098.52071812302,668.585917981564,579.065116145085,633.042612766444,625.635143973949,3754.85661675433,649.639196633997,546.330071386491,374.645014818869,369.072712156015,3536.58589720515,3719.29230675216,350.091492547457,418.528768200243,3875.63328682304,609.432461969853,655.235683130119,348.410486291697,356.225604875472,576.788883348052,428.799709811006,392.516174955715,353.219639846529,529.481692186859,580.727087077148,3702.00755997783,581.269801672503,312.74493647816,594.331906021501,365.934742583416,447.585672236199,698.805443603671,3478.71258693106,346.830475901092,647.603285833198,349.278636636076,537.778316906078,365.674369154567,391.070430188312,586.773903510656,626.603724106693,3928.97925698785,314.707541263261,378.203441028756,620.205629161038,314.866457319498,682.266433631062,391.769418169923,671.571326752288,4009.28336649764,4063.87062641847,309.342455570439,3517.74546376811,387.711521807552,692.941197319992,4069.45048174288,389.709219003932,659.208650745372,3478.08195858746,4016.64454671712,426.038412420718,359.828168479575,444.767488140106,3639.27237197
