,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,39.8797806633693,39.5672962598192,47.9932716810008,30.6216564816677,46.1379932860827,64.5160917835674,32.8618566340165,51.5070557002591,378.729140049625,64.2215593951487,39.3040562692713,66.0974040861993,341.62101564555,384.410739219827,54.9949358912263,45.3044587776194,39.6793116448625,57.0993435560649,39.4337309016537,48.5600217490901,56.7845467118141,314.404918543058,351.249790411651,52.8119754437967,384.556163039131,40.7064030157371,50.8261906909438,343.614204838663,46.0775428943562,47.3833871653869,395.92701476033,44.8721240787363,301.018901012878,39.3220490492831,44.0576465078084,40.2968400623031,54.2001607308748,34.0145790319348,40.7206351500918,59.06543101437,400.244998617772,44.7705868684625,313.262678717425,32.9752612007915,47.3442687553661,52.8027226043441,35.3092520709515,48.4772503275308,40.1212004759773,40.0382616739753,64.3840374758638,51.9176244374166,301.078369018837,60.3873727808223,49.0102781794267,339.489060627847,49.5336990420019,42.6079947191674,41.0817351120022,63.9992946145603,52.8435899172046,42.3781932259608,40.4993624720864,55.6327270122038,30.7134592532075,60.64162456332,54.3918444987303,354.851042347659,39.7027642092753,375.549964639165,46.9328736602256,40.6777446779224,39.9195640186672,370.926620879717,51.8103153171378,45.4076469528081,62.6055107396633,56.1264118079034,45.925694199389,42.9757865373404,64.0268904834775,383.053280535488,41.0501278081947,60.7387650523779,343.925014992733,61.044896822782,47.6270673500412,41.0843742770167,367.712380708252,302.283239895664,290.390088499473,301.868653261558,383.341066588841,52.0783626642178,378.985424813483,43.9734441813353
,2,27.5833635946456,45.1453897893434,57.44569671097,21.2608284930166,50.5738299743989,73.7142506612336,22.862168159596,61.5142217096654,495.940537660686,73.3572595987289,44.8480398357024,75.3203784563884,445.760288022495,503.773692758273,65.8450237909574,49.6879253862162,28.6913480014637,68.2927749037026,45.001447651226,57.9774386102881,67.9957003562731,409.209323687322,458.774318416283,63.2254389037362,503.972555014242,46.4737763544217,55.7714131010944,448.407813196098,51.8755275906578,52.0312827353964,519.557866177404,49.2192621748618,391.660104954616,44.879204521887,50.0742587770073,45.9843115472013,64.8961947978423,23.5950227574476,44.567369416317,70.7375772195437,525.299818895049,50.9401824199813,408.135420032591,22.8717993049431,52.1681764947862,63.215663827883,24.5035268834854,58.0437843343034,45.7783876125804,45.7098434980508,73.5406668555015,62.1519302637262,391.422568811378,72.3385407582728,54.038635302376,442.887093281782,59.2905716914793,30.684797953526,45.2880434312956,73.1033997709019,57.9925686123834,48.3617908003307,46.2191658701431,66.5095796225869,21.2847598521503,72.6418195816887,65.1242436495786,463.571735805489,45.3032822486093,491.620240566391,53.5899567762581,46.4166147603137,45.5649124240017,486.152931680436,57.0974308966179,50.0314470596277,71.506711798138,67.2037354324566,52.4324577442139,47.3474590316191,73.1333090005955,502.699890606169,29.8202463454209,69.3711348674478,449.447477756716,69.5403693121589,54.3621767058003,45.677439875667,481.007121283977,393.070656897872,377.491728866407,392.821997638324,502.253564385609,57.4122582143946,496.464097013676,31.7448391624639
,3,16.3634772593805,53.1041971460072,70.9124321898071,12.587936981372,56.9508175554756,86.8180519162506,13.5003775751493,75.8146072911404,657.38443328039,86.3755164022605,52.7571111048819,88.5033894738262,589.790641072751,668.034812295652,81.2988781552358,55.9844949087483,18.0521791928968,84.257429452975,52.9427608426631,71.440416498468,83.9607192900303,540.71719763105,607.318007600069,78.056699905037,668.304830386462,54.695028167991,62.8686005791142,593.324705936226,60.3016264959288,58.6960278519791,689.432211637953,55.4612023389664,517.442131439901,52.8048339961579,58.7017430829592,54.0975391578013,80.1288851265399,13.9726020336857,50.1100654063084,87.3564594653863,697.103273420538,59.7754950968447,539.584096090142,13.5468714737844,59.0522658136924,78.0497054766965,14.4999185933293,71.6673637866988,53.8514590930972,53.7950129522569,86.5902355562039,76.7326505655501,516.910734096593,89.3501766005802,61.2079195973547,585.926614267634,73.1924317338835,19.2839829120376,51.2865030316971,86.0781659783624,65.3822530076905,56.8979288938899,54.3785029644978,82.0321662263368,12.6227405752143,89.7221417202918,80.4098459235465,613.732736571612,53.29332407332,651.5537604748,63.0800614826148,54.6038070421337,53.6159596003035,644.703353792096,64.6405285848823,56.6292538436956,84.1920441612692,82.9809558407878,61.7098562294341,53.587073624989,86.1113130620934,667.086318766645,18.7854106634177,81.6745796470595,595.133905784908,81.6882492469804,63.9659497427547,52.5029168079809,637.245216650697,519.145305694053,498.488482305504,519.015122200564,665.93776157516,65.018620775867,658.20610021832,19.9702360828496
,4,6.85433325861959,64.452620383262,90.0758360491154,5.08508802286997,66.1331744879353,105.458664210227,5.30416081687508,96.2377073959005,876.512577707176,104.904177068342,64.0345705735381,107.344689005981,786.387521430321,890.713083060864,103.277943122305,65.0393946349132,8.13601225859384,107.003915166805,64.2629586372104,90.67919775258,106.664628031696,720.956263508066,809.757343466732,99.1560278607549,891.07310718192,66.4066562908702,73.0685562728277,791.099607914985,72.6137465039046,68.259509212653,919.242948850626,64.4368726360754,689.922841919883,64.0990103751137,71.088115316219,65.6622512272534,101.792689956832,5.68476930260567,58.1158700989536,110.982287918547,929.47103122738,72.4342131367039,719.445461453519,5.51978173161933,68.8700065446792,99.1481068674384,5.86015816316194,91.0444252742091,65.3597579678099,65.3119401637623,105.16454862666,97.4730236059631,689.214312128774,113.525720638531,71.4204494866663,781.235485690181,92.9712469835767,8.82164829254543,59.8325868863285,104.543038626626,75.9993535781969,69.0637937947768,66.0083152097577,104.163800829191,5.20793696884994,113.997231018227,102.148670636287,818.310315428832,64.6848226747734,868.738347299755,76.593187006365,66.2768895716654,65.0884076043894,859.604471722791,75.3973428398649,66.0404803900383,102.247629944818,105.417394230313,74.9248213807878,62.488453005195,104.58113423641,889.448425022182,8.32154192522194,99.1884060793163,793.511874379884,99.0589877362791,77.6519780819899,62.7501000237398,849.660288867601,692.193740925401,664.651309740672,692.020162934089,887.917015433542,75.8583365525974,877.608133624422,9.06726066050487
,5,0.0947674433555221,80.6144593722693,117.292572275538,-0.407029833510023,79.3790405487207,131.925215160601,-0.78207941313849,125.387991686772,1168.08108310866,131.228884243427,80.0926154902854,134.25283069977,1049.96028964461,1186.50943464506,134.474018041764,78.0829732393677,-0.334603607950157,139.361184267515,80.3785121416358,118.152422648361,138.877932612385,963.940096598873,1080.58932771127,129.11058543919,1186.98399528218,83.0636486318554,87.7436585511668,1056.19553211746,90.7024881308653,81.9937285713659,1223.67473737812,77.3633629908118,922.610331814333,80.1759325783096,88.8832388155433,82.1298517774476,132.538977168527,-0.339711263919526,69.7082165804159,144.495500835223,1237.19333833749,90.5742249291925,961.389549797854,-0.313684849942547,82.8565259244569,129.099209040857,-0.43950225835124,118.543194356199,81.7509698352314,81.6955425141168,131.554597766837,126.920315512974,922.080836756007,147.79539136853,85.9493548692262,1043.20083580099,121.063653824146,0.0477566160270726,71.9971402709425,130.77702033537,91.2703001745476,86.3858000700093,82.5621712871343,135.677792882702,-0.141202263264859,148.410444612071,133.003518420212,1091.8903248284,80.9063181202519,1157.9158684249,95.809558374789,82.8973054469352,81.4130621478898,1145.02167371049,90.7165985906495,79.449628891769,127.904513381941,137.256817023158,93.7195057564222,75.1728026472165,130.825106435974,1183.97355217194,-0.798951975832097,124.076545016304,1058.61550586918,123.884916098895,97.1299347504928,78.2928410272907,1132.92411246991,925.957205984342,889.271179370605,925.343397792873,1182.93527314548,91.2850242502946,1169.30673872982,-0.179282097662508
,6,-2.20139333403677,103.600598024942,155.846798962961,-2.43293700976574,98.5175256474859,169.40445907369,-3.09975649555963,166.922294813166,1545.93089257078,168.534521220714,102.924594610205,172.632853929438,1394.94824323525,1568.99342625027,178.621070446509,96.900659242212,-6.04106235227482,185.281329642781,103.28798724181,157.331769797788,184.446860878777,1284.32076993129,1434.08463479631,171.515107653108,1569.59969168412,106.712704314562,108.883480721153,1403.08006264236,117.428843018217,101.736189717387,1615.91992908351,96.0065848205077,1229.69826918918,103.019868309781,114.461656264516,105.539698323687,176.042597825784,-2.52042453385911,86.5330648073577,191.879391907295,1633.51637940989,116.57263305891,1279.48119716391,-2.42372266717393,102.757266777571,171.490639753757,-2.73399697153855,157.459649548661,105.058155599438,104.955700304928,168.953310341096,168.607153998918,1230.15335927373,196.213907109147,106.584872204617,1386.29081305118,160.850375639006,-5.71038790574585,89.2827055162588,167.954353215416,113.257044633926,111.003801702335,106.089991938731,180.454232269885,-2.04554139152697,197.033938843531,176.665015194326,1448.78343269441,103.970391605095,1532.99468690783,123.074016001525,106.527684434729,104.604371139962,1514.01792167975,112.502473215345,98.5332051717542,164.272462675453,182.305227876175,120.399312529422,93.2302135958571,168.018066888768,1563.39513019537,-7.10893366427899,159.359911534164,1404.13962256404,159.332279082514,124.796288450636,102.064698821762,1501.08001904661,1235.0138941165,1186.52631314613,1233.15088974908,1564.67190718172,113.203369458314,1546.92634690643,-6.3505394204567
,7,2.74023024087182,136.222498410828,210.255075046321,1.44616686943391,126.193442029533,222.279305681346,1.15078422583792,225.93843410838,2019.18385636966,221.214074919698,135.317013201921,227.233663507033,1832.55427846555,2046.67744599647,240.834552138962,124.069208762686,-6.67571503822182,250.214134210709,135.77846351161,213.060927119602,248.627599173686,1694.59171101991,1880.86665140281,231.3041289277,2047.42669259453,140.203402747066,139.342496974752,1842.95621083089,157.084997660263,130.118473337869,2103.60987625495,122.912438505036,1623.42160639897,135.405482116785,151.212363422444,138.74576940417,237.341707157755,1.77549420141349,110.993639288364,258.57180400882,2126.00995362899,153.804542310046,1685.33806283564,1.73620516056326,131.019810886657,231.248775455187,1.74978611639835,212.319117998649,138.130740500177,137.898713177246,221.768686462727,227.387842400519,1626.39306110557,264.300644011171,135.822784337452,1821.83291859841,216.988589799903,-6.17890958668704,113.801538572206,220.454165203353,144.91899719836,145.911578122079,139.448723470487,243.85760552259,1.78779627939912,265.413720565138,238.192186380367,1899.57534700254,136.694560566237,2003.29449545999,161.65373408768,140.048671741465,137.471414106953,1974.80206872137,143.424190054128,125.641756390365,215.64472924325,245.769453318507,158.168161907866,118.88987738042,220.539541603055,2035.0739289031,-7.99640324534994,209.212419782036,1840.0846510506,209.841001486598,163.996397446806,138.575801055968,1963.8916182467,1632.17415844223,1569.03652069576,1627.60337936322,2041.84984743667,144.273968163048,2019.25109513485,-6.97916206658283
,8,19.2911712255009,182.380171588613,286.636192864745,15.1764711086735,166.175288293754,296.487952476304,16.4559389462602,309.387520492219,2613.832040683,295.228902509383,181.133551255505,304.56771025438,2394.77527498466,2643.76786278247,327.994683886229,163.270300577445,1.56602695870515,341.51980530424,181.713692593669,291.965743051273,338.471244445083,2230.76786697381,2451.16498340512,315.128867251384,2644.6461587997,187.469531604269,183.186621474308,2407.83152777947,215.976044305316,170.880040431398,2708.64869829215,161.720430121477,2109.89339094863,181.173610872286,203.898298977221,185.698490222387,323.206760009502,16.7543097483922,146.547533414375,351.846248234772,2736.39452559808,207.00764461792,2212.43185813891,16.2390249798582,171.045191604645,315.007872046237,17.4250407640129,289.239565544574,184.914870817808,184.393917832199,295.978329242089,309.805859046768,2117.94231242303,359.422527216358,177.129986728167,2382.20158232898,295.772346498192,2.36262574530338,148.491273342882,294.219055014351,190.450807381266,195.243658146666,186.595456778128,333.155862127492,15.0556928145388,360.951953622669,324.383790292984,2474.45352833041,182.980157245445,2595.33951270326,216.030033096509,187.451602478232,183.898642282465,2550.90859892031,187.178149774267,164.048157689695,287.852744807634,334.643359187821,211.438125310704,155.262156529057,294.339344411579,2620.23421547173,0.871293286233595,279.312400489389,2395.03280738978,281.529170401286,219.330705972978,194.53195470611,2549.14159589693,2124.29876372514,2043.87628281997,2114.68999229101,2639.30846539588,188.175605884253,2611.30839645723,2.01154303106705
,9,54.0320434636724,247.412779318041,393.083264186188,44.7905927031297,223.739247479967,399.900587973366,49.5624874400237,426.477002856236,3251.52459222061,398.483608437939,245.647409216476,413.301087339069,3005.96829685416,3281.90359087585,449.104940073134,219.672389352345,24.5458732029128,468.842834956647,246.366730524347,402.861964625777,463.173002437592,2820.02560397632,3068.59231181316,431.722834894251,3282.88193802699,253.870019225362,246.079327733492,3021.8024814921,303.051982648596,229.238197966833,3352.50943069347,217.526017315386,2706.95768634659,245.571558711644,279.075808226527,251.797459583633,442.495435713844,48.8006406093609,198.073516234213,481.142461262726,3385.49387458101,282.696743785132,2789.59401841185,47.287068052261,227.515495270301,431.46836841914,50.9323712392561,396.292745376485,250.808824872502,249.715330909608,399.517047721375,424.453289660081,2725.32719146277,491.11924842025,235.250312906584,2991.95120149959,405.506445785702,25.6655533444482,197.416859269021,397.137841719774,255.682727954523,264.6313905822,252.926276011336,457.894334790599,43.4531131357116,493.229187201065,444.138619741865,3096.59513955869,248.156581246009,3230.93772607574,292.266425859924,254.183863403228,249.192562658668,3167.00055652815,248.832000329906,218.262542039553,388.65060307955,458.059384010755,286.192126445227,206.642212751277,397.304635257633,3243.0770005224,26.1513935125977,377.228950457168,2995.06768564677,382.619896979541,297.036338772774,279.411875898708,3179.16972632128,2731.08192340641,2631.51156696435,2711.94197469528,3278.56882777856,249.936677176208,3245.2714170475,26.9406744921198
,10,116.290922880627,338.487656992113,539.929810889145,98.9443341536016,306.051135243098,542.603392228473,109.917738148398,588.854966132723,3934.69076774577,541.11526142446,335.930704319445,564.495344016387,3673.34489328837,3962.08237464085,615.47820851085,300.333502945481,70.6623529867966,644.231329973937,336.808016337763,556.973334268889,634.217615972247,3473.43395667266,3738.83137632121,592.116847884032,3963.11128607759,346.573086925601,335.699599525692,3692.13434510007,430.334954212703,312.295633241422,4034.8287967086,297.287251879659,3338.3215410723,335.642633522042,385.464973411552,344.275500713971,606.33797903,106.981721053388,272.258110442103,658.174469029923,4072.62119313499,389.553614718445,3426.57993653438,103.717267230125,306.755975093428,591.615872811371,111.623345033906,543.781972084061,343.04829487194,340.916792890858,542.556720542247,582.19710940312,3370.03040194376,671.206021831374,316.591196271586,3658.65219349349,556.754879800549,72.0332721315663,266.125543770823,539.338366164099,348.48177563321,361.582605100518,345.659617479852,630.030238279788,95.2389686026745,674.113184067582,608.633893705771,3771.71646985502,339.368992239845,3912.87087650157,398.377311797261,347.533975821436,340.458596653655,3824.64515716339,335.195403853464,294.395384640533,528.006575124119,627.458874564546,390.360099793291,278.86749045075,539.558113207891,3903.53215805846,77.285883617019,512.73476908188,3645.5689341561,523.727064516924,405.362288682906,405.749030911553,3857.73076507503,3374.21096559686,3256.06557319939,3343.16360426832,3961.14431868733,336.308829385677,3922.97301259168,76.9223915468456
