,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,E_covid,Neg Ctrl,,,12.7275660251579,12.7275660251579,0,NaN,NaN,NaN,0,60,
,A02,Cy5,E_covid,Unkn,,,13.0388550207423,13.0388550207423,0,NaN,NaN,NaN,0,60,
,A03,Cy5,E_covid,Unkn,,,6.22721779066391,6.22721779066391,0,NaN,NaN,NaN,0,60,
,A04,Cy5,E_covid,Unkn,,,6.71156536879294,6.71156536879294,0,NaN,NaN,NaN,0,60,
,A05,Cy5,E_covid,Unkn,,,6.53456224472272,6.53456224472272,0,NaN,NaN,NaN,0,60,
,A06,Cy5,E_covid,Unkn,,,13.0876331183498,13.0876331183498,0,NaN,NaN,NaN,0,60,
,A07,Cy5,E_covid,Unkn,,,13.2581631910175,13.2581631910175,0,NaN,NaN,NaN,0,60,
,A08,Cy5,E_covid,Unkn,,,6.15704252155824,6.15704252155824,0,NaN,NaN,NaN,0,60,
,A09,Cy5,E_covid,Unkn,,,13.231674505477,13.231674505477,0,NaN,NaN,NaN,0,60,
,A10,Cy5,E_covid,Pos Ctrl,,,14.4773280884548,14.4773280884548,0,NaN,NaN,NaN,0,60,
,A11,Cy5,E_covid,Unkn,,,14.658832164323,14.658832164323,0,NaN,NaN,NaN,0,60,
,A12,Cy5,E_covid,Unkn,,,13.2342646527017,13.2342646527017,0,NaN,NaN,NaN,0,60,
,B01,Cy5,E_covid,Unkn,,,13.1003263731425,13.1003263731425,0,NaN,NaN,NaN,0,60,
,B02,Cy5,E_covid,Unkn,,,12.6085686628699,12.6085686628699,0,NaN,NaN,NaN,0,60,
,B03,Cy5,E_covid,Unkn,,,14.2455020269674,14.2455020269674,0,NaN,NaN,NaN,0,60,
,B04,Cy5,E_covid,Unkn,,,14.1118354970966,14.1118354970966,0,NaN,NaN,NaN,0,60,
,B05,Cy5,E_covid,Unkn,,,6.37771896293586,6.37771896293586,0,NaN,NaN,NaN,0,60,
,B06,Cy5,E_covid,Unkn,,,14.9136033489752,14.9136033489752,0,NaN,NaN,NaN,0,60,
,B07,Cy5,E_covid,Unkn,,,6.4721989877465,6.4721989877465,0,NaN,NaN,NaN,0,60,
,B08,Cy5,E_covid,Unkn,,,13.294051467341,13.294051467341,0,NaN,NaN,NaN,0,60,
,B09,Cy5,E_covid,Unkn,,,14.1962534816508,14.1962534816508,0,NaN,NaN,NaN,0,60,
,B10,Cy5,E_covid,Unkn,,,13.2443666430589,13.2443666430589,0,NaN,NaN,NaN,0,60,
,B11,Cy5,E_covid,Unkn,,,13.3099397712223,13.3099397712223,0,NaN,NaN,NaN,0,60,
,B12,Cy5,E_covid,Unkn,,,12.9297321477624,12.9297321477624,0,NaN,NaN,NaN,0,60,
,C01,Cy5,E_covid,Unkn,,,6.30428606606892,6.30428606606892,0,NaN,NaN,NaN,0,60,
,C02,Cy5,E_covid,Unkn,,,6.02578496382523,6.02578496382523,0,NaN,NaN,NaN,0,60,
,C03,Cy5,E_covid,Unkn,,,15.1155638533761,15.1155638533761,0,NaN,NaN,NaN,0,60,
,C04,Cy5,E_covid,Unkn,,,6.61068002048789,6.61068002048789,0,NaN,NaN,NaN,0,60,
,C05,Cy5,E_covid,Unkn,,,15.1146733363565,15.1146733363565,0,NaN,NaN,NaN,0,60,
,C06,Cy5,E_covid,Unkn,,,11.8582025373724,11.8582025373724,0,NaN,NaN,NaN,0,60,
,C07,Cy5,E_covid,Unkn,,,14.5159178094881,14.5159178094881,0,NaN,NaN,NaN,0,60,
,C08,Cy5,E_covid,Unkn,,,6.9219911457678,6.9219911457678,0,NaN,NaN,NaN,0,60,
,C09,Cy5,E_covid,Unkn,,,14.8407790638988,14.8407790638988,0,NaN,NaN,NaN,0,60,
,C10,Cy5,E_covid,Unkn,,,11.7835666894697,11.7835666894697,0,NaN,NaN,NaN,0,60,
,C11,Cy5,E_covid,Unkn,,,14.8176999791829,14.8176999791829,0,NaN,NaN,NaN,0,60,
,C12,Cy5,E_covid,Unkn,,,6.62847852146041,6.62847852146041,0,NaN,NaN,NaN,0,60,
,D01,Cy5,E_covid,Unkn,,,6.91743564249779,6.91743564249779,0,NaN,NaN,NaN,0,60,
,D02,Cy5,E_covid,Unkn,,,6.23629529149856,6.23629529149856,0,NaN,NaN,NaN,0,60,
,D03,Cy5,E_covid,Unkn,,,14.2010443794071,14.2010443794071,0,NaN,NaN,NaN,0,60,
,D04,Cy5,E_covid,Unkn,,,14.4082547124799,14.4082547124799,0,NaN,NaN,NaN,0,60,
,D05,Cy5,E_covid,Unkn,,,12.6124010216753,12.6124010216753,0,NaN,NaN,NaN,0,60,
,D06,Cy5,E_covid,Unkn,,,14.54197943734,14.54197943734,0,NaN,NaN,NaN,0,60,
,D07,Cy5,E_covid,Unkn,,,6.95627396733011,6.95627396733011,0,NaN,NaN,NaN,0,60,
,D08,Cy5,E_covid,Unkn,,,6.55017635232275,6.55017635232275,0,NaN,NaN,NaN,0,60,
,D09,Cy5,E_covid,Unkn,,,14.3021840354731,14.3021840354731,0,NaN,NaN,NaN,0,60,
,D10,Cy5,E_covid,Unkn,,,6.92400446773483,6.92400446773483,0,NaN,NaN,NaN,0,60,
,D11,Cy5,E_covid,Unkn,,,13.0582847477362,13.0582847477362,0,NaN,NaN,NaN,0,60,
,D12,Cy5,E_covid,Unkn,,,5.87747010647058,5.87747010647058,0,NaN,NaN,NaN,0,60,
,E01,Cy5,E_covid,Unkn,,,14.7832679366951,14.7832679366951,0,NaN,NaN,NaN,0,60,
,E02,Cy5,E_covid,Unkn,,,5.8632594102523,5.8632594102523,0,NaN,NaN,NaN,0,60,
,E03,Cy5,E_covid,Unkn,,,13.9455006299301,13.9455006299301,0,NaN,NaN,NaN,0,60,
,E04,Cy5,E_covid,Unkn,,,14.3789347426074,14.3789347426074,0,NaN,NaN,NaN,0,60,
,E05,Cy5,E_covid,Unkn,,,14.0936723556012,14.0936723556012,0,NaN,NaN,NaN,0,60,
,E06,Cy5,E_covid,Unkn,,,12.8758724566318,12.8758724566318,0,NaN,NaN,NaN,0,60,
,E07,Cy5,E_covid,Unkn,,,11.6140234035834,11.6140234035834,0,NaN,NaN,NaN,0,60,
,E08,Cy5,E_covid,Unkn,,,14.4536339118387,14.4536339118387,0,NaN,NaN,NaN,0,60,
,E09,Cy5,E_covid,Unkn,,,13.1136166235835,13.1136166235835,0,NaN,NaN,NaN,0,60,
,E10,Cy5,E_covid,Unkn,,,13.1118231894195,13.1118231894195,0,NaN,NaN,NaN,0,60,
,E11,Cy5,E_covid,Unkn,,,11.6520382551041,11.6520382551041,0,NaN,NaN,NaN,0,60,
,E12,Cy5,E_covid,Unkn,,,6.89899944162152,6.89899944162152,0,NaN,NaN,NaN,0,60,
,F01,Cy5,E_covid,Unkn,,,14.5465095894366,14.5465095894366,0,NaN,NaN,NaN,0,60,
,F02,Cy5,E_covid,Unkn,,,14.3474270661923,14.3474270661923,0,NaN,NaN,NaN,0,60,
,F03,Cy5,E_covid,Unkn,,,6.04473551714348,6.04473551714348,0,NaN,NaN,NaN,0,60,
,F04,Cy5,E_covid,Unkn,,,14.2172387313526,14.2172387313526,0,NaN,NaN,NaN,0,60,
,F05,Cy5,E_covid,Unkn,,,12.6246739619953,12.6246739619953,0,NaN,NaN,NaN,0,60,
,F06,Cy5,E_covid,Unkn,,,12.9180561733057,12.9180561733057,0,NaN,NaN,NaN,0,60,
,F07,Cy5,E_covid,Unkn,,,14.2473644087945,14.2473644087945,0,NaN,NaN,NaN,0,60,
,F08,Cy5,E_covid,Unkn,,,14.5754808079165,14.5754808079165,0,NaN,NaN,NaN,0,60,
,F09,Cy5,E_covid,Unkn,,,13.3778707022502,13.3778707022502,0,NaN,NaN,NaN,0,60,
,F10,Cy5,E_covid,Unkn,,,13.1190185153428,13.1190185153428,0,NaN,NaN,NaN,0,60,
,F11,Cy5,E_covid,Unkn,,,13.0087107100903,13.0087107100903,0,NaN,NaN,NaN,0,60,
,F12,Cy5,E_covid,Unkn,,,12.8151844294856,12.8151844294856,0,NaN,NaN,NaN,0,60,
,G01,Cy5,E_covid,Unkn,,,13.3272103164524,13.3272103164524,0,NaN,NaN,NaN,0,60,
,G02,Cy5,E_covid,Unkn,,,13.9465237701816,13.9465237701816,0,NaN,NaN,NaN,0,60,
,G03,Cy5,E_covid,Unkn,,,13.0262799246601,13.0262799246601,0,NaN,NaN,NaN,0,60,
,G04,Cy5,E_covid,Unkn,,,14.1838324784904,14.1838324784904,0,NaN,NaN,NaN,0,60,
,G05,Cy5,E_covid,Unkn,,,14.5907083713516,14.5907083713516,0,NaN,NaN,NaN,0,60,
,G06,Cy5,E_covid,Unkn,,,12.531584181246,12.531584181246,0,NaN,NaN,NaN,0,60,
,G07,Cy5,E_covid,Unkn,,,13.2518703377349,13.2518703377349,0,NaN,NaN,NaN,0,60,
,G08,Cy5,E_covid,Unkn,,,14.7606140268061,14.7606140268061,0,NaN,NaN,NaN,0,60,
,G09,Cy5,E_covid,Unkn,,,14.1960495605208,14.1960495605208,0,NaN,NaN,NaN,0,60,
,G10,Cy5,E_covid,Unkn,,,12.8365956999503,12.8365956999503,0,NaN,NaN,NaN,0,60,
,G11,Cy5,E_covid,Unkn,,,14.7706320402311,14.7706320402311,0,NaN,NaN,NaN,0,60,
,G12,Cy5,E_covid,Unkn,,,6.39171478639379,6.39171478639379,0,NaN,NaN,NaN,0,60,
,H01,Cy5,E_covid,Unkn,,,5.77293546418691,5.77293546418691,0,NaN,NaN,NaN,0,60,
,H02,Cy5,E_covid,Unkn,,,12.6986969579766,12.6986969579766,0,NaN,NaN,NaN,0,60,
,H03,Cy5,E_covid,Unkn,,,14.2981394730552,14.2981394730552,0,NaN,NaN,NaN,0,60,
,H04,Cy5,E_covid,Unkn,,,12.7063324552187,12.7063324552187,0,NaN,NaN,NaN,0,60,
,H05,Cy5,E_covid,Unkn,,,12.9221665880184,12.9221665880184,0,NaN,NaN,NaN,0,60,
,H06,Cy5,E_covid,Unkn,,,6.0392604909301,6.0392604909301,0,NaN,NaN,NaN,0,60,
,H07,Cy5,E_covid,Unkn,,,13.3481592967108,13.3481592967108,0,NaN,NaN,NaN,0,60,
,H08,Cy5,E_covid,Unkn,,,12.8820385887445,12.8820385887445,0,NaN,NaN,NaN,0,60,
,H09,Cy5,E_covid,Unkn,,,6.9039833240352,6.9039833240352,0,NaN,NaN,NaN,0,60,
,H10,Cy5,E_covid,Unkn,,,11.6624248039827,11.6624248039827,0,NaN,NaN,NaN,0,60,
,H11,Cy5,E_covid,Unkn,,,14.3299547840152,14.3299547840152,0,NaN,NaN,NaN,0,60,
,H12,Cy5,E_covid,Unkn,,,15.0594176585114,15.0594176585114,0,NaN,NaN,NaN,0,60,
,A01,FAM,ORF1ab_covid,Neg Ctrl,,,6.23176116029597,6.23176116029597,0,NaN,NaN,NaN,0,60,
,A02,FAM,ORF1ab_covid,Unkn,,,12.4755693762074,12.4755693762074,0,NaN,NaN,NaN,0,60,
,A03,FAM,ORF1ab_covid,Unkn,,,12.5443592275555,12.5443592275555,0,NaN,NaN,NaN,0,60,
,A04,FAM,ORF1ab_covid,Unkn,,,6.115304200885,6.115304200885,0,NaN,NaN,NaN,0,60,
,A05,FAM,ORF1ab_covid,Unkn,,,14.471973311197,14.471973311197,0,NaN,NaN,NaN,0,60,
,A06,FAM,ORF1ab_covid,Unkn,,,14.188990430019,14.188990430019,0,NaN,NaN,NaN,0,60,
,A07,FAM,ORF1ab_covid,Unkn,,,5.64548837856755,5.64548837856755,0,NaN,NaN,NaN,0,60,
,A08,FAM,ORF1ab_covid,Unkn,,,14.8043768111404,14.8043768111404,0,NaN,NaN,NaN,0,60,
,A09,FAM,ORF1ab_covid,Unkn,,,14.9703546174421,14.9703546174421,0,NaN,NaN,NaN,0,60,
,A10,FAM,ORF1ab_covid,Pos Ctrl,,,12.7186563497324,12.7186563497324,0,NaN,NaN,NaN,0,60,
,A11,FAM,ORF1ab_covid,Unkn,,,14.6339663608619,14.6339663608619,0,NaN,NaN,NaN,0,60,
,A12,FAM,ORF1ab_covid,Unkn,,,12.5020967581988,12.5020967581988,0,NaN,NaN,NaN,0,60,
,B01,FAM,ORF1ab_covid,Unkn,,,12.9144070383053,12.9144070383053,0,NaN,NaN,NaN,0,60,
,B02,FAM,ORF1ab_covid,Unkn,,,12.4333225834586,12.4333225834586,0,NaN,NaN,NaN,0,60,
,B03,FAM,ORF1ab_covid,Unkn,,,15.1265395259634,15.1265395259634,0,NaN,NaN,NaN,0,60,
,B04,FAM,ORF1ab_covid,Unkn,,,12.9882250109912,12.9882250109912,0,NaN,NaN,NaN,0,60,
,B05,FAM,ORF1ab_covid,Unkn,,,5.83038946407518,5.83038946407518,0,NaN,NaN,NaN,0,60,
,B06,FAM,ORF1ab_covid,Unkn,,,12.9950376970143,12.9950376970143,0,NaN,NaN,NaN,0,60,
,B07,FAM,ORF1ab_covid,Unkn,,,14.453804596055,14.453804596055,0,NaN,NaN,NaN,0,60,
,B08,FAM,ORF1ab_covid,Unkn,,,14.3615552648822,14.3615552648822,0,NaN,NaN,NaN,0,60,
,B09,FAM,ORF1ab_covid,Unkn,,,14.2771164372951,14.2771164372951,0,NaN,NaN,NaN,0,60,
,B10,FAM,ORF1ab_covid,Unkn,,,12.548482196358,12.548482196358,0,NaN,NaN,NaN,0,60,
