,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Neg Ctrl,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Pos Ctrl,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,12.7275660251579,13.0388550207423,6.22721779066391,6.71156536879294,6.53456224472272,13.0876331183498,13.2581631910175,6.15704252155824,13.231674505477,14.4773280884548,14.658832164323,13.2342646527017
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,13.1003263731425,12.6085686628699,14.2455020269674,14.1118354970966,6.37771896293586,14.9136033489752,6.4721989877465,13.294051467341,14.1962534816508,13.2443666430589,13.3099397712223,12.9297321477624
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,6.30428606606892,6.02578496382523,15.1155638533761,6.61068002048789,15.1146733363565,11.8582025373724,14.5159178094881,6.9219911457678,14.8407790638988,11.7835666894697,14.8176999791829,6.62847852146041
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,6.91743564249779,6.23629529149856,14.2010443794071,14.4082547124799,12.6124010216753,14.54197943734,6.95627396733011,6.55017635232275,14.3021840354731,6.92400446773483,13.0582847477362,5.87747010647058
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,14.7832679366951,5.8632594102523,13.9455006299301,14.3789347426074,14.0936723556012,12.8758724566318,11.6140234035834,14.4536339118387,13.1136166235835,13.1118231894195,11.6520382551041,6.89899944162152
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,14.5465095894366,14.3474270661923,6.04473551714348,14.2172387313526,12.6246739619953,12.9180561733057,14.2473644087945,14.5754808079165,13.3778707022502,13.1190185153428,13.0087107100903,12.8151844294856
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,13.3272103164524,13.9465237701816,13.0262799246601,14.1838324784904,14.5907083713516,12.531584181246,13.2518703377349,14.7606140268061,14.1960495605208,12.8365956999503,14.7706320402311,6.39171478639379
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,5.77293546418691,12.6986969579766,14.2981394730552,12.7063324552187,12.9221665880184,6.0392604909301,13.3481592967108,12.8820385887445,6.9039833240352,11.6624248039827,14.3299547840152,15.0594176585114
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
