,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Neg Ctrl,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Pos Ctrl,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,6.23176116029597,12.4755693762074,12.5443592275555,6.115304200885,14.471973311197,14.188990430019,5.64548837856755,14.8043768111404,14.9703546174421,12.7186563497324,14.6339663608619,12.5020967581988
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,12.9144070383053,12.4333225834586,15.1265395259634,12.9882250109912,5.83038946407518,12.9950376970143,14.453804596055,14.3615552648822,14.2771164372951,12.548482196358,12.4454141112029,14.6824370081766
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,12.3776867996625,13.2187062862846,12.4253394303714,14.2575599256286,6.36284300380073,14.5665161259175,14.3941584842286,14.3327180637505,5.51601560783785,12.5270211208453,12.9986595240246,12.6996847592536
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,12.7381010835565,6.03691993739193,12.6165042763058,13.2159375315044,14.3606705907943,14.3988502546949,6.33407244737805,6.0842115103783,14.6520776573268,14.0433912093108,5.85234391298267,12.8277600073471
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,12.5891493227776,14.576400798623,14.5981970936614,13.0097431480008,13.9726265325818,14.2280349186476,14.5371140988232,13.3075059934797,12.9887318470898,6.10670083581356,13.0422324219447,15.0135942325631
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,12.9095206188709,14.4238840095768,13.8290327046461,12.3885309076839,6.41731877078285,14.6897765645155,12.6265840334427,14.5629631794808,13.2618498694771,14.4328809909849,14.2381483534606,13.0128913554378
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,12.7354553002853,5.76864853137009,14.9971626589013,14.3279162005926,12.7669979494749,14.9957226092221,12.4640020082995,14.2272711401102,12.5114795936511,5.64757697271276,5.56624854748848,15.0429156604146
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,6.36143156540907,14.2567951177551,12.4143158881104,5.55886305007664,14.2422489106643,12.5696680961359,6.41871654101612,5.63595449955528,13.9938771180696,14.4796132345714,13.8505561011533,6.19125745397354
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
