,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Neg Ctrl,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Pos Ctrl,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,14.8145652645659,14.1834150347157,12.7170078530146,15.0952451332943,14.4016826864216,12.7628522053763,14.8777998419125,12.391634242137,5.23045538491204,12.7654285597686,14.2177341715759,12.572683364641
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,5.59479849834429,5.17948247050556,12.3043887106341,14.45117257661,15.3213333580946,12.1478425868146,14.2137535737308,12.5604256226906,12.2181301435781,5.90897652083452,5.49383761305189,12.4218293042752
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,5.17818038242058,14.1437555185832,14.1522891819035,5.57357148203946,13.1042208309338,14.3800803532058,5.08026578699967,14.4926776053869,6.06466555266559,14.2201686809299,13.6770293568526,14.1433950794096
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,12.3546571158587,14.9597955248695,14.6909582594997,12.1120508158,5.04532986020971,13.6624538879565,5.9235359023787,15.0263145742443,14.5730281213684,12.4275721522938,14.8706716420283,12.701514463426
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,14.1487939260208,14.1945336638772,12.7542998436064,12.4775492914842,6.06310636465214,12.0579846325772,14.4955417376028,5.61779062240467,12.6167204972632,15.3112080319389,15.0270407089897,12.7745583241872
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,14.0619120201338,14.0155977407225,14.1414812943825,12.2073289280966,15.1791829255999,12.0446625389553,12.3418550620254,5.45747109697644,14.1855235970984,5.2592594760632,13.7143668106426,14.1186245221724
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,14.1841575294568,5.29847710724115,14.3099076018816,14.7004051415678,12.847508752875,12.2477939326353,13.7708104120364,14.8724995643998,12.7745656452396,5.18761467016737,15.0880962855547,12.9470408481928
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,5.56882599801733,12.8045283636134,13.6388296184885,13.1456753304478,5.33201828826782,6.05072187245342,6.17942604376683,6.05579307322826,5.18919675714135,14.3151844219673,5.22735013171567,15.1250356338273
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
