,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Neg Ctrl,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Pos Ctrl,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,13.0088329420978,14.390460394085,14.2129674795892,15.0649350782561,5.28399187060844,13.7149254831651,14.2303655079059,5.2773912987549,14.3527393151863,14.1394588247582,14.0737264975407,5.15097699360687
A,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,14.2708269229365,14.4604426044784,13.7043795034363,5.44683921347642,13.3506475974357,5.9611163278154,14.0891303047186,5.1193834594757,12.1348921910346,14.5060338401957,14.1613083779451,14.6654440314454
B,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,15.5105425823686,12.9157671243913,5.36940458961427,14.8951619825218,14.0940095400511,5.67138196146796,5.43164737250125,5.56415778231482,14.7077402985627,14.5448394109245,5.14327843657273,14.0392430656552
C,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,13.4615536488264,15.2794949674347,5.08721969496875,14.3963969196251,12.5625922699162,5.56921044222805,14.9902951879308,12.8635067244116,13.5982513594333,13.1414635032646,12.6743823729411,15.2383514836213
D,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,14.5669854863479,15.2505012441659,12.0818047160767,12.1280329597708,5.57834144353031,14.7170663710574,12.2001593133276,13.1212203870422,14.942760971895,14.0249464229369,12.6424081542249,14.0480604278905
E,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,5.31238695184394,12.7451544774794,14.8456121306192,5.62172804150539,13.7033423139227,14.1103422083317,14.8397671466493,14.2999348640712,13.6711737454651,13.9955246976978,14.575427454946,14.1259662686924
F,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,12.9656347362251,14.4032722511197,14.320689366961,14.6872586446672,14.3820776718974,13.1138277878544,12.7246434568182,14.7793445443931,14.1129707704915,13.9970840913828,5.90242819715112,13.0041306105674
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,15.3147853073974,5.32535669106303,12.7460889415479,14.4323075818663,12.7079224130579,5.43341524628313,14.2732643526644,13.086039684016,13.1700093400126,14.3960314700563,5.31345320000112,5.10016326067388
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
